Bill,Tip,Credit,Guests,Day,Server,PctTip
 23.70 , 10.00 ,N, 2 ,Fri,Ashley, 42.20 
 18.62 , 2.50 ,N, 2 ,Fri,Ashley, 13.40 
 19.58 , 2.42 ,N, 2 ,Fri,Ashley, 12.40 
 23.59 , 3.00 ,N, 2 ,Fri,Ashley, 12.70 
 10.17 , 2.10 ,N, 1 ,Fri,Ashley, 20.60 
 28.89 , 3.46 ,N, 2 ,Fri,Ashley, 12.00 
 21.24 , 3.62 ,N, 2 ,Fri,Ashley, 17.00 
 7.54 , 1.26 ,N, 3 ,Fri,Ashley, 16.70 
 31.99 , 5.01 ,Y, 2 ,Fri,Ashley, 15.70 
 37.24 , 6.70 ,Y, 2 ,Fri,Ashley, 18.00 
 19.53 , 8.00 ,N, 2 ,Tue,Ashley, 41.00 
 11.93 , 2.00 ,N, 1 ,Tue,Ashley, 16.80 
 17.12 , 3.72 ,N, 2 ,Tue,Ashley, 21.70 
 18.62 , 3.35 ,Y, 2 ,Tue,Ashley, 18.00 
 11.18 , 2.00 ,Y, 2 ,Tue,Ashley, 17.90 
 11.18 , 1.82 ,Y, 2 ,Tue,Ashley, 16.30 
 18.67 , 3.33 ,Y, 2 ,Tue,Ashley, 17.80 
 24.50 , 3.50 ,Y, 2 ,Tue,Ashley, 14.30 
 22.68 , 3.55 ,N, 2 ,Thu,Ashley, 15.70 
 18.62 , 3.11 ,N, 2 ,Thu,Ashley, 16.70 
 31.35 , 4.50 ,N, 2 ,Thu,Ashley, 14.40 
 16.53 , 2.47 ,N, 2 ,Thu,Ashley, 14.90 
 18.14 , 2.75 ,N, 2 ,Thu,Ashley, 15.20 
 9.58 , 1.42 ,N, 1 ,Thu,Ashley, 14.80 
 29.64 , 6.00 ,N, 2 ,Thu,Ashley, 20.20 
 26.16 , 4.53 ,N, 1 ,Thu,Ashley, 17.30 
 17.71 , 2.30 ,N, 2 ,Thu,Ashley, 13.00 
 28.09 , 5.11 ,N, 4 ,Thu,Ashley, 18.20 
 8.29 , 1.00 ,Y, 2 ,Thu,Ashley, 12.10 
 34.94 , 6.96 ,Y, 2 ,Thu,Ashley, 19.90 
 22.47 , 4.00 ,Y, 2 ,Thu,Ashley, 17.80 
 53.54 , 9.00 ,Y, 2 ,Tue,Ashley, 16.80 
 29.85 , 4.15 ,Y, 2 ,Wed,Ashley, 13.90 
 17.44 , 3.70 ,N, 2 ,Wed,Ashley, 21.20 
 31.94 , 8.06 ,N, 3 ,Wed,Ashley, 25.20 
 10.17 , 1.83 ,N, 1 ,Wed,Ashley, 18.00 
 9.20 , 1.80 ,N, 1 ,Wed,Ashley, 19.60 
 17.39 , 3.61 ,N, 2 ,Wed,Ashley, 20.80 
 32.31 , 4.69 ,N, 2 ,Wed,Ashley, 14.50 
 38.73 , 5.70 ,N, 2 ,Wed,Ashley, 14.70 
 29.00 , 4.00 ,N, 3 ,Wed,Ashley, 13.80 
 23.00 , 3.75 ,N, 1 ,Wed,Ashley, 16.30 
 10.17 , 2.00 ,N, 1 ,Wed,Ashley, 19.70 
 1.66 , 0.25 ,N, 1 ,Wed,Ashley, 15.10 
 9.52 , 1.00 ,N, 1 ,Wed,Ashley, 10.50 
 28.36 , 5.44 ,N, 3 ,Wed,Ashley, 19.20 
 20.22 , 4.37 ,N, 2 ,Wed,Ashley, 21.60 
 11.66 , 1.50 ,N, 1 ,Wed,Ashley, 12.90 
 23.91 , 4.00 ,N, 2 ,Wed,Ashley, 16.70 
 17.44 , 2.00 ,N, 2 ,Wed,Ashley, 11.50 
 18.08 , 2.00 ,N, 2 ,Wed,Ashley, 11.10 
 70.51 , 10.49 ,Y, 2 ,Wed,Ashley, 14.90 
 60.72 , 15.00 ,Y, 1 ,Wed,Ashley, 24.70 
 30.98 , 5.02 ,Y, 1 ,Wed,Ashley, 16.20 
 36.27 , 7.00 ,Y, 2 ,Wed,Ashley, 19.30 
 18.62 , 2.79 ,Y, 3 ,Wed,Ashley, 15.00 
 39.75 , 7.25 ,Y, 2 ,Wed,Ashley, 18.20 
 15.25 , 2.75 ,Y, 2 ,Wed,Ashley, 18.00 
 11.72 , 2.28 ,Y, 1 ,Wed,Ashley, 19.50 
 8.40 , 1.60 ,Y, 1 ,Wed,Ashley, 19.00 
 36.11 , 7.00 ,N, 3 ,Fri,Byron, 19.40 
 15.41 , 3.00 ,N, 2 ,Fri,Byron, 19.50 
 21.56 , 3.44 ,N, 2 ,Fri,Byron, 16.00 
 18.67 , 2.00 ,N, 2 ,Fri,Byron, 10.70 
 15.19 , 1.75 ,N, 1 ,Fri,Byron, 11.50 
 8.08 , 1.00 ,N, 1 ,Fri,Byron, 12.40 
 8.83 , 1.25 ,N, 2 ,Fri,Byron, 14.20 
 8.88 , 1.12 ,N, 2 ,Fri,Byron, 12.60 
 17.49 , 3.00 ,N, 3 ,Fri,Byron, 17.20 
 17.39 , 3.61 ,Y, 2 ,Fri,Byron, 20.80 
 18.83 , 2.80 ,N, 2 ,Mon,Byron, 14.90 
 17.82 , 2.75 ,N, 2 ,Mon,Byron, 15.40 
 23.97 , 4.00 ,N, 2 ,Mon,Byron, 16.70 
 16.48 , 3.00 ,N, 2 ,Mon,Byron, 18.20 
 6.69 , 1.00 ,N, 1 ,Mon,Byron, 14.90 
 18.40 , 2.75 ,N, 2 ,Mon,Byron, 14.90 
 3.75 , 0.25 ,N, 2 ,Mon,Byron, 6.70 
 32.69 , 5.00 ,N, 2 ,Mon,Byron, 15.30 
 35.68 , 5.00 ,N, 3 ,Mon,Byron, 14.00 
 20.76 , 3.00 ,N, 2 ,Mon,Byron, 14.50 
 24.82 , 4.40 ,N, 2 ,Mon,Byron, 17.70 
 35.95 , 6.05 ,Y, 3 ,Mon,Byron, 16.80 
 27.45 , 4.00 ,Y, 3 ,Mon,Byron, 14.60 
 16.80 , 2.20 ,Y, 2 ,Mon,Byron, 13.10 
 9.84 , 2.16 ,Y, 1 ,Mon,Byron, 22.00 
 12.57 , 2.00 ,N, 3 ,Mon,Byron, 15.90 
 14.87 , 3.13 ,N, 2 ,Mon,Byron, 21.00 
 17.12 , 2.50 ,N, 2 ,Mon,Byron, 14.60 
 31.30 , 5.70 ,Y, 3 ,Mon,Byron, 18.20 
 51.68 , 10.00 ,Y, 6 ,Mon,Byron, 19.30 
 23.38 , 4.00 ,N, 2 ,Thu,Byron, 17.10 
 28.36 , 5.20 ,N, 1 ,Thu,Byron, 18.30 
 18.73 , 2.27 ,N, 2 ,Thu,Byron, 12.10 
 27.82 , 4.71 ,N, 3 ,Thu,Byron, 16.90 
 15.62 , 2.81 ,N, 2 ,Thu,Byron, 18.00 
 12.54 , 2.00 ,N, 2 ,Thu,Byron, 15.90 
 13.38 , 2.00 ,N, 2 ,Thu,Byron, 14.90 
 16.85 , 3.00 ,N, 2 ,Thu,Byron, 17.80 
 15.73 , 5.00 ,N, 2 ,Thu,Byron, 31.80 
 31.14 , 5.00 ,N, 3 ,Thu,Byron, 16.10 
 35.90 , 5.00 ,N, 3 ,Thu,Byron, 13.90 
 36.86 , 6.14 ,Y, 2 ,Thu,Byron, 16.70 
 29.53 , 4.47 ,Y, 3 ,Thu,Byron, 15.10 
 25.95 , 4.05 ,Y, 2 ,Thu,Byron, 15.60 
 14.23 , 2.15 ,N, 2 ,Wed,Byron, 15.10 
 19.69 , 2.31 ,N, 2 ,Wed,Byron, 11.70 
 10.59 , 1.50 ,N, 1 ,Wed,Byron, 14.20 
 20.33 , 4.00 ,N, 2 ,Wed,Byron, 19.70 
 21.88 , 4.00 ,N, 3 ,Wed,Byron, 18.30 
 23.27 , 3.73 ,N, 2 ,Wed,Byron, 16.00 
 21.03 , 3.00 ,N, 2 ,Wed,Byron, 14.30 
 26.80 , 2.20 ,N, 2 ,Wed,Byron, 8.20 
 12.31 , 1.90 ,N, 2 ,Wed,Byron, 15.40 
 28.84 , 5.16 ,N, 2 ,Wed,Byron, 17.90 
 19.42 , 3.00 ,N, 2 ,Wed,Byron, 15.40 
 25.63 , 5.00 ,N, 2 ,Wed,Byron, 19.50 
 7.44 , 1.56 ,N, 1 ,Wed,Byron, 21.00 
 12.52 , 1.50 ,N, 1 ,Wed,Byron, 12.00 
 14.34 , 2.00 ,N, 2 ,Wed,Byron, 13.90 
 16.26 , 2.43 ,N, 2 ,Wed,Byron, 14.90 
 59.33 , 10.00 ,Y, 6 ,Wed,Byron, 16.90 
 9.36 , 1.44 ,Y, 1 ,Wed,Byron, 15.40 
 22.26 , 3.74 ,Y, 2 ,Wed,Byron, 16.80 
 20.87 , 3.13 ,Y, 2 ,Wed,Byron, 15.00 
 30.60 , 5.00 ,Y, 2 ,Wed,Byron, 16.30 
 18.40 , 2.60 ,N, 2 ,Fri,Cassandra, 14.10 
 23.65 , 3.15 ,N, 2 ,Fri,Cassandra, 13.30 
 20.22 , 2.00 ,N, 2 ,Fri,Cassandra, 9.90 
 22.36 , 3.00 ,N, 2 ,Fri,Cassandra, 13.40 
 27.98 , 5.42 ,N, 2 ,Fri,Cassandra, 19.40 
 22.95 , 4.05 ,Y, 2 ,Fri,Cassandra, 17.60 
 57.30 , 10.00 ,N, 7 ,Tue,Cassandra, 17.50 
 13.86 , 1.14 ,N, 1 ,Tue,Cassandra, 8.20 
 27.66 , 4.16 ,Y, 2 ,Tue,Cassandra, 15.00 
 30.98 , 4.02 ,Y, 4 ,Tue,Cassandra, 13.00 
 9.31 , 1.25 ,N, 1 ,Thu,Cassandra, 13.40 
 55.59 , 10.00 ,N, 5 ,Thu,Cassandra, 18.00 
 13.11 , 2.00 ,N, 1 ,Thu,Cassandra, 15.30 
 29.05 , 5.91 ,Y, 2 ,Thu,Cassandra, 20.30 
 41.94 , 7.06 ,Y, 5 ,Thu,Cassandra, 16.80 
 25.09 , 5.00 ,Y, 2 ,Thu,Cassandra, 19.90 
 49.59 , 10.41 ,Y, 4 ,Thu,Cassandra, 21.00 
 24.34 , 4.00 ,Y, 3 ,Thu,Cassandra, 16.40 
 39.80 , 6.30 ,Y, 2 ,Thu,Cassandra, 15.80 
 7.97 , 1.03 ,N, 2 ,Wed,Cassandra, 12.90 
 7.70 , 1.00 ,N, 1 ,Wed,Cassandra, 13.00 
 7.76 , 1.00 ,N, 1 ,Wed,Cassandra, 12.90 
 23.43 , 4.00 ,N, 2 ,Wed,Cassandra, 17.10 
 18.67 , 3.00 ,N, 3 ,Wed,Cassandra, 16.10 
 18.14 , 4.00 ,N, 3 ,Wed,Cassandra, 22.10 
 3.26 , 0.74 ,N, 2 ,Wed,Cassandra, 22.70 
 37.34 , 5.96 ,Y, 2 ,Wed,Cassandra, 16.00 
 22.20 , 4.00 ,Y, 1 ,Wed,Cassandra, 18.00 
 42.96 , 7.04 ,Y, 2 ,Wed,Cassandra, 16.40 
 50.24 , 9.76 ,Y, 2 ,Wed,Cassandra, 19.40 
 17.82 , 3.18 ,Y, 2 ,Wed,Cassandra, 17.80 
 18.62 , 2.38 ,Y, 2 ,Wed,Cassandra, 12.80 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
